"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",4,40,4.236,0.013,10,7
"2",20,40,17.14,0.029,10,7
"3",4,75,5.144,0.013,10,7
"4",4,200,6.92,0.021,10,7
"5",20,200,31.3,0.061,10,7
