"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,0,0,24,13,24
"2",1,0,0,24,4,24
"3",1,0,0,24,7,24
"4",1,0,0,72,41,24
"5",1,0,0,72,18,24
"6",1,0,0,72,19,24
"7",1,0,0,120,24,24
"8",1,0,0,120,20,24
"9",1,0,0,120,21,24
"10",1,0,0,168,31,24
"11",1,0,0,168,28,24
"12",1,0,0,168,23,24
"13",1,0,0,216,30,24
"14",1,0,0,216,21,24
"15",1,0,0,216,24,24
"16",1,0,0,264,20,24
"17",1,0,0,264,43,24
"18",1,0,0,264,20,24
"19",1,24,12,0,0,24
"20",1,24,15,0,0,24
"21",1,24,10,0,0,24
"22",1,24,13,24,9,24
"23",1,24,11,24,5,24
"24",1,24,9,72,20,24
"25",1,24,6,72,9,24
"26",1,24,2,120,23,24
"27",1,24,1,120,26,24
"28",1,24,2,168,23,24
"29",1,24,3,168,35,24
"30",1,24,0,216,25,24
"31",1,24,3,216,17,24
"32",1,24,5,264,23,24
"33",1,24,2,264,18,24
"34",1,72,20,0,0,24
"35",1,72,29,0,0,24
"36",1,72,18,0,0,24
"37",1,72,23,24,7,24
"38",1,72,35,24,3,24
"39",1,72,11,72,19,24
"40",1,72,8,72,20,24
"41",1,72,10,120,25,24
"42",1,72,4,720,17,24
"43",1,72,4,168,28,24
"44",1,72,5,168,21,24
"45",1,72,1,216,28,24
"46",1,72,2,216,20,24
"47",1,72,5,264,32,24
"48",1,72,9,264,11,24
"49",1,120,24,0,0,24
"50",1,120,59,0,0,24
"51",1,120,32,0,0,24
"52",1,120,29,24,4,24
"53",1,120,27,24,5,24
"54",1,120,26,72,14,24
"55",1,120,29,120,21,24
"56",1,120,19,120,6,24
"57",1,120,15,120,10,24
"58",1,120,15,168,27,24
"59",1,120,7,168,19,24
"60",1,120,15,216,15,24
"61",1,120,21,216,21,24
"62",1,120,6,264,22,24
"63",1,120,7,264,20,24
"64",1,168,20,0,0,24
"65",1,168,41,0,0,24
"66",1,168,44,0,0,24
"67",1,168,36,24,3,24
"68",1,168,23,24,5,24
"69",1,168,20,72,19,24
"70",1,168,31,72,13,24
"71",1,168,16,120,18,24
"72",1,168,14,120,17,24
"73",1,168,13,168,24,24
"74",1,168,42,168,16,24
"75",1,168,0,216,22,24
"76",1,168,17,216,18,24
"77",1,168,9,264,11,24
"78",1,168,28,264,14,24
"79",1,216,39,0,0,24
"80",1,216,18,0,0,24
"81",1,216,24,0,0,24
"82",1,216,31,24,4,24
"83",1,216,26,24,0,24
"84",1,216,22,72,6,24
"85",1,216,30,72,6,24
"86",1,216,16,120,7,24
"87",1,216,16,120,19,24
"88",1,216,9,168,22,24
"89",1,216,14,168,18,24
"90",1,216,16,216,18,24
"91",1,216,8,216,27,24
"92",1,216,8,264,24,24
"93",1,216,12,264,27,24
"94",1,264,58,0,0,24
"95",1,264,42,0,0,24
"96",1,264,26,0,0,24
"97",1,264,31,24,8,24
"98",1,264,47,24,0,24
"99",1,264,18,72,10,24
"100",1,264,30,72,2,24
"101",1,264,14,120,9,24
"102",1,264,24,120,14,24
"103",1,264,8,168,20,24
"104",1,264,17,168,20,24
"105",1,264,30,216,4,24
"106",1,264,11,216,23,24
"107",1,264,14,264,22,24
"108",1,264,11,264,19,24
