"","Npredator","Nprey","Nconsumed","Time"
"1",2,20,5,90
"2",2,20,5,90
"3",2,20,6,90
"4",2,20,6,90
"5",2,20,5,90
"6",2,20,5,90
"7",2,20,6,90
"8",2,20,6,90
"9",2,20,4,90
"10",2,20,6,90
"11",2,40,12,90
"12",2,40,11,90
"13",2,40,10,90
"14",2,40,8,90
"15",2,40,9,90
"16",2,40,9,90
"17",2,40,8,90
"18",2,40,12,90
"19",2,40,10,90
"20",2,40,10,90
"21",2,60,15,90
"22",2,60,13,90
"23",2,60,10,90
"24",2,60,16,90
"25",2,60,14,90
"26",2,60,16,90
"27",2,60,10,90
"28",2,60,15,90
"29",2,60,14,90
"30",2,60,15,90
"31",2,80,12,90
"32",2,80,19,90
"33",2,80,17,90
"34",2,80,15,90
"35",2,80,16,90
"36",2,80,18,90
"37",2,80,20,90
"38",2,80,17,90
"39",2,80,20,90
"40",2,80,17,90
"41",2,100,21,90
"42",2,100,16,90
"43",2,100,22,90
"44",2,100,16,90
"45",2,100,20,90
"46",2,100,19,90
"47",2,100,16,90
"48",2,100,26,90
"49",2,100,22,90
"50",2,100,23,90
"51",2,120,20,90
"52",2,120,23,90
"53",2,120,22,90
"54",2,120,22,90
"55",2,120,25,90
"56",2,120,24,90
"57",2,120,26,90
"58",2,120,20,90
"59",2,120,24,90
"60",2,120,21,90
"61",2,140,22,90
"62",2,140,26,90
"63",2,140,19,90
"64",2,140,27,90
"65",2,140,28,90
"66",2,140,18,90
"67",2,140,30,90
"68",2,140,27,90
"69",2,140,27,90
"70",2,140,26,90
"71",2,160,28,90
"72",2,160,24,90
"73",2,160,27,90
"74",2,160,24,90
"75",2,160,31,90
"76",2,160,32,90
"77",2,160,27,90
"78",2,160,30,90
"79",2,160,22,90
"80",2,160,25,90
"81",2,180,26,90
"82",2,180,20,90
"83",2,180,28,90
"84",2,180,29,90
"85",2,180,30,90
"86",2,180,30,90
"87",2,180,29,90
"88",2,180,32,90
"89",2,180,33,90
"90",2,180,32,90
"91",2,200,34,90
"92",2,200,24,90
"93",2,200,34,90
"94",2,200,30,90
"95",2,200,30,90
"96",2,200,28,90
"97",2,200,30,90
"98",2,200,32,90
"99",2,200,34,90
"100",2,200,30,90
"101",3,20,7,90
"102",3,20,6,90
"103",3,20,10,90
"104",3,20,9,90
"105",3,20,6,90
"106",3,20,10,90
"107",3,20,3,90
"108",3,20,6,90
"109",3,20,8,90
"110",3,20,7,90
"111",3,40,13,90
"112",3,40,8,90
"113",3,40,15,90
"114",3,40,21,90
"115",3,40,9,90
"116",3,40,14,90
"117",3,40,12,90
"118",3,40,15,90
"119",3,40,13,90
"120",3,40,12,90
"121",3,60,21,90
"122",3,60,18,90
"123",3,60,21,90
"124",3,60,20,90
"125",3,60,15,90
"126",3,60,18,90
"127",3,60,14,90
"128",3,60,19,90
"129",3,60,19,90
"130",3,60,21,90
"131",3,80,22,90
"132",3,80,20,90
"133",3,80,21,90
"134",3,80,23,90
"135",3,80,27,90
"136",3,80,23,90
"137",3,80,24,90
"138",3,80,25,90
"139",3,80,22,90
"140",3,80,27,90
"141",3,100,26,90
"142",3,100,23,90
"143",3,100,30,90
"144",3,100,26,90
"145",3,100,31,90
"146",3,100,29,90
"147",3,100,21,90
"148",3,100,31,90
"149",3,100,31,90
"150",3,100,28,90
"151",3,120,30,90
"152",3,120,33,90
"153",3,120,42,90
"154",3,120,33,90
"155",3,120,21,90
"156",3,120,31,90
"157",3,120,25,90
"158",3,120,33,90
"159",3,120,34,90
"160",3,120,30,90
"161",3,140,36,90
"162",3,140,33,90
"163",3,140,42,90
"164",3,140,27,90
"165",3,140,36,90
"166",3,140,34,90
"167",3,140,36,90
