"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",4,10,4.216,0.744,4,24
"2",4,20,8.188,0.496,4,24
"3",4,100,17.86,0.496,4,24
"4",4,200,29.024,6.448,4,24
"5",2,10,3.596,0.744,4,24
"6",2,20,8.806,0.372,4,24
"7",2,100,15.132,2.852,4,24
"8",2,200,25.302,4.342,4,24
