"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",4,10,1.496,0.248,4,24
"2",4,20,3.488,1.244,4,24
"3",4,100,9.96,2.24,4,24
"4",4,200,12.948,2.988,4,24
"5",2,10,1.744,0.25,4,24
"6",2,20,2.74,0.748,4,24
"7",2,100,6.102,1.868,4,24
"8",2,200,7.72,3.362,4,24
