"","Npredator","Nprey","Nconsumed","Time"
"1",1,1,0,24
"2",4,1,1,24
"3",4,1,0,24
"4",1,1,0,24
"5",2,1,0,24
"6",2,1,0,24
"7",3,1,1,24
"8",1,1,0,24
"9",2,1,1,24
"10",4,1,1,24
"11",2,1,0,24
"12",3,1,1,24
"13",3,1,0,24
"14",1,1,0,24
"15",3,1,0,24
"16",4,1,0,24
"17",3,2,1,24
"18",1,2,2,24
"19",2,2,0,24
"20",4,2,0,24
"21",1,2,0,24
"22",3,2,2,24
"23",1,2,2,24
"24",4,2,1,24
"25",1,2,1,24
"26",2,2,1,24
"27",2,2,1,24
"28",2,2,0,24
"29",4,2,1,24
"30",3,2,1,24
"31",4,2,0,24
"32",3,2,0,24
"33",4,5,1,24
"34",2,5,1,24
"35",4,5,3,24
"36",3,5,0,24
"37",3,5,1,24
"38",2,5,1,24
"39",3,5,2,24
"40",1,5,1,24
"41",4,5,1,24
"42",1,5,1,24
"43",4,5,2,24
"44",1,5,2,24
"45",3,5,0,24
"46",2,5,1,24
"47",1,5,0,24
"48",3,5,0,24
"49",2,5,0,24
"50",2,10,7,24
"51",3,10,2,24
"52",2,10,0,24
"53",4,10,7,24
"54",1,10,3,24
"55",2,10,3,24
"56",4,10,6,24
"57",3,10,4,24
"58",4,10,4,24
"59",2,10,7,24
"60",1,10,3,24
"61",4,10,6,24
"62",4,10,5,24
"63",1,10,4,24
"64",3,10,1,24
"65",1,10,1,24
"66",3,10,3,24
"67",4,20,13,24
"68",1,20,2,24
"69",3,20,2,24
"70",2,20,6,24
"71",2,20,12,24
"72",4,20,11,24
"73",4,20,3,24
"74",2,20,6,24
"75",3,20,9,24
"76",4,20,13,24
"77",3,20,5,24
"78",1,20,9,24
"79",1,20,3,24
"80",3,20,6,24
"81",1,20,2,24
"82",2,20,10,24
"83",2,40,24,24
"84",4,40,23,24
"85",3,40,23,24
"86",1,40,20,24
"87",1,40,11,24
"88",4,40,27,24
"89",3,40,5,24
"90",4,40,19,24
"91",1,40,11,24
"92",1,40,10,24
"93",1,40,7,24
"94",2,40,14,24
"95",4,40,16,24
"96",2,40,26,24
"97",2,40,8,24
"98",3,40,24,24
"99",3,40,5,24
"100",2,40,15,24
"101",3,40,23,24
"102",1,80,39,24
"103",4,80,46,24
"104",3,80,46,24
"105",3,80,33,24
"106",1,80,38,24
"107",4,80,47,24
"108",3,80,41,24
"109",2,80,42,24
"110",2,80,30,24
"111",4,80,34,24
"112",2,80,15,24
"113",3,80,40,24
"114",1,80,27,24
"115",1,80,38,24
"116",4,80,39,24
"117",2,80,35,24
"118",4,120,61,24
"119",1,120,33,24
"120",1,120,17,24
"121",3,120,49,24
"122",4,120,83,24
"123",4,120,89,24
"124",3,120,55,24
"125",3,120,39,24
"126",4,120,65,24
"127",2,120,26,24
"128",2,120,68,24
"129",1,120,9,24
"130",2,120,44,24
"131",3,120,70,24
"132",2,120,13,24
"133",1,120,25,24
"134",2,160,59,24
"135",1,160,7,24
"136",2,160,65,24
"137",1,160,11,24
"138",4,160,55,24
"139",3,160,39,24
"140",3,160,63,24
"141",3,160,78,24
"142",1,160,24,24
"143",4,160,50,24
"144",1,160,42,24
"145",3,160,69,24
"146",2,160,60,24
"147",4,160,77,24
"148",4,160,89,24
"149",2,160,68,24
"150",1,320,26,24
"151",2,320,50,24
"152",1,320,57,24
"153",3,320,99,24
"154",3,320,128,24
"155",4,320,82,24
"156",3,320,84,24
"157",2,320,42,24
"158",3,320,101,24
"159",4,320,98,24
"160",4,320,144,24
"161",1,320,53,24
"162",4,320,94,24
"163",1,320,31,24
"164",2,320,46,24
"165",4,320,133,24
"166",2,320,67,24
"167",2,640,69,24
"168",4,640,198,24
"169",2,640,61,24
"170",2,640,26,24
"171",1,640,30,24
"172",1,640,82,24
"173",3,640,123,24
"174",3,640,157,24
"175",3,640,96,24
"176",1,640,47,24
"177",2,640,26,24
"178",4,640,206,24
"179",4,640,116,24
"180",4,640,128,24
"181",3,640,93,24
"182",1,640,74,24
"183",2,640,26,24
"184",2,640,27,24
