"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",2,100,39.14,6.68,10,15
"2",4,100,48.15,5.3,10,15
"3",8,100,60.51,8.78,10,15
"4",1,5,1,0.69,10,15
"5",1,10,3,0.64,10,15
"6",1,20,9,1.96,10,15
"7",1,50,23.99,4.62,10,15
"8",1,100,31.98,9.25,10,15
"9",1,200,38.89,9.43,10,15
