"dataname","replacement","MainPrey","Npredator","Nprey.MainPrey","Nconsumed.MainPrey.mean","Nconsumed.MainPrey.se","Nprey.AltPrey","Nconsumed.AltPrey.mean","Nconsumed.AltPrey.se","n","Nconsumed.MainPrey.var","Nconsumed.AltPrey.var","log.Nconsumed.MainPrey.mean","log.Nconsumed.AltPrey.mean","log.Nconsumed.MainPrey.var","log.Nconsumed.AltPrey.var","log.Nprey.MainPrey","log.Nprey.AltPrey","weights"
"Elliot_2006_i3",TRUE,"Prey1",1,140,3.5,0.39,60,1.4,0.19,10,15.21,3.61,1.25276296849537,0.336472236621213,2.7219531062712,1.28370777234479,4.9416424226093,4.0943445622221,10
"Elliot_2006_i3",TRUE,"Prey1",1,160,3.9,0.53,40,1,0.17,10,28.09,2.89,1.3609765531356,0,3.33541364111615,1.06125650212434,5.07517381523383,3.68887945411394,10
"Elliot_2006_i3",TRUE,"Prey1",1,180,4.2,0.41,20,0.5,0.19,10,16.81,3.61,1.43508452528932,-0.693147180559945,2.82197394742052,1.28370777234479,5.19295685089021,2.99573227355399,10
"Elliot_2006_i3",TRUE,"Prey2",1,180,3.2,0.29,20,0.7,0.18,10,8.41,3.24,1.16315080980568,-0.356674943938732,2.12942147398486,1.17557332980424,5.19295685089021,2.99573227355399,10
"Elliot_2006_i3",TRUE,"Prey2",1,160,3,0.3,40,1.2,0.15,10,9,2.25,1.09861228866811,0.182321556793955,2.19722457733622,0.810930216216329,5.07517381523383,3.68887945411394,10
"Elliot_2006_i3",TRUE,"Prey2",1,140,2.7,0.18,60,1.8,0.15,10,3.24,2.25,0.993251773010283,0.587786664902119,1.17557332980424,0.810930216216329,4.9416424226093,4.0943445622221,10
"Elliot_2006_i3",TRUE,"Prey2",1,120,2.4,0.26,80,2.3,0.24,10,6.76,5.76,0.8754687373539,0.832909122935104,1.91102289005487,1.7509374747078,4.78749174278205,4.38202663467388,10
"Elliot_2006_i3",TRUE,"Prey2",1,100,2.1,0.21,100,2.7,0.18,10,4.41,3.24,0.741937344729377,0.993251773010283,1.48387468945875,1.17557332980424,4.60517018598809,4.60517018598809,10
"Elliot_2006_i3",TRUE,"Prey2",1,80,1.7,0.18,120,3.1,0.44,10,3.24,19.36,0.53062825106217,1.1314021114911,1.17557332980424,2.96320908184843,4.38202663467388,4.78749174278205,10
"Elliot_2006_i3",TRUE,"Prey2",1,60,1.4,0.19,140,3.5,0.39,10,3.61,15.21,0.336472236621213,1.25276296849537,1.28370777234479,2.7219531062712,4.0943445622221,4.9416424226093,10
"Elliot_2006_i3",TRUE,"Prey2",1,40,1,0.17,160,3.9,0.53,10,2.89,28.09,0,1.3609765531356,1.06125650212434,3.33541364111615,3.68887945411394,5.07517381523383,10
"Elliot_2006_i3",TRUE,"Prey2",1,20,0.5,0.19,180,4.2,0.41,10,3.61,16.81,-0.693147180559945,1.43508452528932,1.28370777234479,2.82197394742052,2.99573227355399,5.19295685089021,10
"Elliot_2006_i4",TRUE,"Prey1",1,20,0.2,0.15,180,9.2,0.59,10,2.25,34.81,-1.6094379124341,2.21920348405499,0.810930216216329,3.54990470182335,2.99573227355399,5.19295685089021,10
"Elliot_2006_i4",TRUE,"Prey1",1,40,0.8,0.15,160,8.6,0.39,10,2.25,15.21,-0.22314355131421,2.15176220325946,0.810930216216329,2.7219531062712,3.68887945411394,5.07517381523383,10
"Elliot_2006_i4",TRUE,"Prey1",1,60,1.6,0.19,140,7.7,0.39,10,3.61,15.21,0.470003629245736,2.04122032885964,1.28370777234479,2.7219531062712,4.0943445622221,4.9416424226093,10
"Elliot_2006_i4",TRUE,"Prey1",1,80,2.6,0.19,120,6.6,0.19,10,3.61,3.61,0.955511445027436,1.88706964903238,1.28370777234479,1.28370777234479,4.38202663467388,4.78749174278205,10
"Elliot_2006_i4",TRUE,"Prey1",1,100,3.8,0.48,100,5.3,0.35,10,23.04,12.25,1.33500106673234,1.66770682055808,3.13723183582769,2.50552593699074,4.60517018598809,4.60517018598809,10
"Elliot_2006_i4",TRUE,"Prey1",1,120,5.1,0.4,80,3.9,0.53,10,16,28.09,1.62924053973028,1.3609765531356,2.77258872223978,3.33541364111615,4.78749174278205,4.38202663467388,10
"Elliot_2006_i4",TRUE,"Prey1",1,140,6.4,0.19,60,2.5,0.26,10,3.61,6.76,1.85629799036563,0.916290731874155,1.28370777234479,1.91102289005487,4.9416424226093,4.0943445622221,10
"Elliot_2006_i4",TRUE,"Prey1",1,160,7.5,0.31,40,1.3,0.24,10,9.61,5.76,2.01490302054226,0.262364264467491,2.2628042229822,1.7509374747078,5.07517381523383,3.68887945411394,10
"Elliot_2006_i4",TRUE,"Prey1",1,180,8.3,0.24,20,0.4,0.19,10,5.76,3.61,2.11625551480255,-0.916290731874155,1.7509374747078,1.28370777234479,5.19295685089021,2.99573227355399,10
"Elliot_2006_i4",TRUE,"Prey2",1,180,9.2,0.59,20,0.2,0.15,10,34.81,2.25,2.21920348405499,-1.6094379124341,3.54990470182335,0.810930216216329,5.19295685089021,2.99573227355399,10
"Elliot_2006_i4",TRUE,"Prey2",1,160,8.6,0.39,40,0.8,0.15,10,15.21,2.25,2.15176220325946,-0.22314355131421,2.7219531062712,0.810930216216329,5.07517381523383,3.68887945411394,10
"Elliot_2006_i4",TRUE,"Prey2",1,140,7.7,0.39,60,1.6,0.19,10,15.21,3.61,2.04122032885964,0.470003629245736,2.7219531062712,1.28370777234479,4.9416424226093,4.0943445622221,10
"Elliot_2006_i4",TRUE,"Prey2",1,120,6.6,0.19,80,2.6,0.19,10,3.61,3.61,1.88706964903238,0.955511445027436,1.28370777234479,1.28370777234479,4.78749174278205,4.38202663467388,10
"Elliot_2006_i4",TRUE,"Prey2",1,100,5.3,0.35,100,3.8,0.48,10,12.25,23.04,1.66770682055808,1.33500106673234,2.50552593699074,3.13723183582769,4.60517018598809,4.60517018598809,10
"Elliot_2006_i4",TRUE,"Prey2",1,80,3.9,0.53,120,5.1,0.4,10,28.09,16,1.3609765531356,1.62924053973028,3.33541364111615,2.77258872223978,4.38202663467388,4.78749174278205,10
"Elliot_2006_i4",TRUE,"Prey2",1,60,2.5,0.26,140,6.4,0.19,10,6.76,3.61,0.916290731874155,1.85629799036563,1.91102289005487,1.28370777234479,4.0943445622221,4.9416424226093,10
"Elliot_2006_i4",TRUE,"Prey2",1,40,1.3,0.24,160,7.5,0.31,10,5.76,9.61,0.262364264467491,2.01490302054226,1.7509374747078,2.2628042229822,3.68887945411394,5.07517381523383,10
"Elliot_2006_i4",TRUE,"Prey2",1,20,0.4,0.19,180,8.3,0.24,10,3.61,5.76,-0.916290731874155,2.11625551480255,1.28370777234479,1.7509374747078,2.99573227355399,5.19295685089021,10
"Elliot_2006_i4B",TRUE,"Prey1",1,20,0.2,0.15,180,9.4,0.63,10,2.25,39.69,-1.6094379124341,2.24070968927596,0.810930216216329,3.68109926679497,2.99573227355399,5.19295685089021,10
"Elliot_2006_i4B",TRUE,"Prey1",1,40,0.9,0.21,160,8.7,0.3,10,4.41,9,-0.105360515657826,2.16332302566054,1.48387468945875,2.19722457733622,3.68887945411394,5.07517381523383,10
"Elliot_2006_i4B",TRUE,"Prey1",1,60,2.1,0.21,140,7.5,0.31,10,4.41,9.61,0.741937344729377,2.01490302054226,1.48387468945875,2.2628042229822,4.0943445622221,4.9416424226093,10
"Elliot_2006_i4B",TRUE,"Prey1",1,80,3.8,0.38,120,5.8,0.29,10,14.44,8.41,1.33500106673234,1.75785791755237,2.67000213346468,2.12942147398486,4.38202663467388,4.78749174278205,10
"Elliot_2006_i4B",TRUE,"Prey1",1,100,5.6,0.19,100,4,0.38,10,3.61,14.44,1.7227665977411,1.38629436111989,1.28370777234479,2.67000213346468,4.60517018598809,4.60517018598809,10
"Elliot_2006_i4B",TRUE,"Prey1",1,120,7.2,0.38,80,2.4,0.26,10,14.44,6.76,1.97408102602201,0.8754687373539,2.67000213346468,1.91102289005487,4.78749174278205,4.38202663467388,10
"Elliot_2006_i4B",TRUE,"Prey1",1,140,8.4,0.26,60,1.2,0.23,10,6.76,5.29,2.12823170584927,0.182321556793955,1.91102289005487,1.66581824587021,4.9416424226093,4.0943445622221,10
"Elliot_2006_i4B",TRUE,"Prey1",1,160,9.1,0.32,40,0.5,0.19,10,10.24,3.61,2.2082744135228,-0.693147180559945,2.32630161961136,1.28370777234479,5.07517381523383,3.68887945411394,10
"Elliot_2006_i4B",TRUE,"Prey1",1,180,9.5,0.58,20,0.1,0.12,10,33.64,1.44,2.2512917986065,-2.30258509299405,3.51571583510475,0.364643113587909,5.19295685089021,2.99573227355399,10
"Elliot_2006_i4B",TRUE,"Prey2",1,180,9.4,0.63,20,0.2,0.15,10,39.69,2.25,2.24070968927596,-1.6094379124341,3.68109926679497,0.810930216216329,5.19295685089021,2.99573227355399,10
"Elliot_2006_i4B",TRUE,"Prey2",1,160,8.7,0.3,40,0.9,0.21,10,9,4.41,2.16332302566054,-0.105360515657826,2.19722457733622,1.48387468945875,5.07517381523383,3.68887945411394,10
"Elliot_2006_i4B",TRUE,"Prey2",1,140,7.5,0.31,60,2.1,0.21,10,9.61,4.41,2.01490302054226,0.741937344729377,2.2628042229822,1.48387468945875,4.9416424226093,4.0943445622221,10
"Elliot_2006_i4B",TRUE,"Prey2",1,120,5.8,0.29,80,3.8,0.38,10,8.41,14.44,1.75785791755237,1.33500106673234,2.12942147398486,2.67000213346468,4.78749174278205,4.38202663467388,10
"Elliot_2006_i4B",TRUE,"Prey2",1,100,4,0.38,100,5.6,0.19,10,14.44,3.61,1.38629436111989,1.7227665977411,2.67000213346468,1.28370777234479,4.60517018598809,4.60517018598809,10
"Elliot_2006_i4B",TRUE,"Prey2",1,80,2.4,0.26,120,7.2,0.38,10,6.76,14.44,0.8754687373539,1.97408102602201,1.91102289005487,2.67000213346468,4.38202663467388,4.78749174278205,10
"Elliot_2006_i4B",TRUE,"Prey2",1,60,1.2,0.23,140,8.4,0.26,10,5.29,6.76,0.182321556793955,2.12823170584927,1.66581824587021,1.91102289005487,4.0943445622221,4.9416424226093,10
"Elliot_2006_i4B",TRUE,"Prey2",1,40,0.5,0.19,160,9.1,0.32,10,3.61,10.24,-0.693147180559945,2.2082744135228,1.28370777234479,2.32630161961136,3.68887945411394,5.07517381523383,10
"Elliot_2006_i4B",TRUE,"Prey2",1,20,0.1,0.12,180,9.5,0.58,10,1.44,33.64,-2.30258509299405,2.2512917986065,0.364643113587909,3.51571583510475,2.99573227355399,5.19295685089021,10
"Elliot_2006_i5",TRUE,"Prey1",1,20,0.3,0.18,180,15.3,0.71,10,3.24,50.41,-1.20397280432594,2.72785282839839,1.17557332980424,3.92018956809454,2.99573227355399,5.19295685089021,10
"Elliot_2006_i5",TRUE,"Prey1",1,40,1,0.17,160,14.6,0.69,10,2.89,47.61,0,2.68102152871429,1.06125650212434,3.86304282320643,3.68887945411394,5.07517381523383,10
"Elliot_2006_i5",TRUE,"Prey1",1,60,2.2,0.23,140,13.3,0.39,10,5.29,15.21,0.78845736036427,2.58776403522771,1.66581824587021,2.7219531062712,4.0943445622221,4.9416424226093,10
"Elliot_2006_i5",TRUE,"Prey1",1,80,4.1,0.36,120,11.7,0.46,10,12.96,21.16,1.41098697371026,2.45958884180371,2.56186769092413,3.0521126069901,4.38202663467388,4.78749174278205,10
