"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,3,5.73,0.53,4,24
"2",1,6,12.1,1.59,4,24
"3",1,12,20.7,1.17,4,24
"4",1,24,34.08,3.4,4,24
"5",1,48,43.74,1.49,4,24
"6",2,3,7.44,0.86,4,24
"7",2,6,12.74,2.34,4,24
"8",2,12,20.38,0.64,4,24
"9",2,24,32.48,2.12,4,24
"10",2,48,63.9,7.64,4,24
"11",3,3,8.91,0.96,4,24
"12",3,6,10.5,1.92,4,24
"13",3,12,23.58,2.22,4,24
"14",3,24,36.63,4.14,4,24
"15",3,48,51.27,4.14,4,24
