"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,10,0.69,0.51,90,83.75,1.83,5,6
"2",1,50,14.41,3.05,50,35.51,2.97,8,6
"3",1,90,77.49,2.75,10,1.42,0.68,5,6
"4",1,25,10.9,4.46,25,19.2,4.33,5,6
"5",1,50,19.32,3.47,50,30.34,3.34,5,6
"6",1,100,45.45,4.83,100,70.96,4.95,5,6
"7",1,200,53.5,4.33,200,67.12,4.33,4,6
