"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",2,150,28,0.6,10,12
"2",2,300,49.6,3.8,10,12
"3",2,600,51.4,1.6,10,12
"4",2,1200,54,2.4,10,12
"5",4,150,43.6,3.6,10,12
"6",4,300,56.8,6,10,12
"7",4,600,89.2,3.6,10,12
"8",4,1200,91.2,2.8,10,12
"9",8,150,70.4,5.6,10,12
"10",8,300,111.2,16.8,10,12
"11",8,600,191.2,2.4,10,12
"12",8,1200,195.2,7.2,10,12
