"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,1,0.236,NA,4,2
"2",2,1,0.46,NA,4,2
"3",4,1,0.192,NA,4,2
"4",8,1,0.364,NA,4,2
"5",16,1,0.596,NA,4,2
"6",1,5,0.256,NA,4,2
"7",2,5,0.266,NA,4,2
"8",4,5,1,NA,4,2
"9",8,5,1.482,NA,4,2
"10",16,5,1.552,NA,4,2
"11",1,10,1.31,NA,4,2
"12",2,10,1.322,NA,4,2
"13",4,10,1.648,NA,4,2
"14",8,10,1.792,NA,4,2
"15",16,10,3.194,NA,4,2
"16",1,50,2.09,NA,4,2
"17",2,50,2.342,NA,4,2
"18",4,50,1.58,NA,4,2
"19",8,50,3.73,NA,4,2
"20",16,50,6.77,NA,4,2
