"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,1,0.604,NA,6,4
"2",2,1,0.68,NA,6,4
"3",4,1,0.528,NA,6,4
"4",8,1,0.604,NA,6,4
"5",16,1,0.372,NA,6,4
"6",1,5,0.704,NA,6,4
"7",2,5,0.276,NA,6,4
"8",4,5,1.456,NA,6,4
"9",8,5,1.26,NA,6,4
"10",16,5,2.208,NA,6,4
"11",1,10,0.992,NA,6,4
"12",2,10,1.36,NA,6,4
"13",4,10,1.964,NA,6,4
"14",8,10,2.252,NA,6,4
"15",16,10,3.208,NA,6,4
"16",1,50,2.008,NA,6,4
"17",2,50,2.016,NA,6,4
"18",4,50,2.696,NA,6,4
"19",8,50,6.236,NA,6,4
"20",16,50,9.656,NA,6,4
