"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,7,0.71,5,24
"2",1,30,13.4,1.6,5,24
"3",1,100,21,4.43,5,24
"4",1,200,25,0.71,5,24
"5",10,10,4.6,1.29,5,24
"6",10,30,20.4,2.54,5,24
"7",10,100,54.5,13.2,5,24
"8",10,200,91.4,14.8,5,24
